Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
549,21,32,11695,1781.5147058823532
550,23,15,11710,1791.0620915032687
551,21,26,11736,1789.6094771241842
552,21,25,11761,1789.156862745098
553,21,28,11789,1785.7042483660134
554,21,23,11812,1787.251633986929
555,9,29,11841,1782.7990196078426
556,0,12,11853,1795.3464052287582
557,21,23,11876,1796.8937908496737
558,21,29,11905,1792.4411764705892
559,21,25,11930,1791.988562091503
560,21,27,11957,1789.5359477124184
561,21,32,11989,1782.083333333334
562,21,25,12014,1781.6307189542495
563,21,24,12038,1782.1781045751632
564,21,18,12056,1788.7254901960787
565,21,27,12083,1786.2728758169942
566,11,10,12093,1800.8202614379097
567,21,27,12120,1798.3676470588234
568,21,28,12148,1794.915032679739
569,11,6,12154,1813.4624183006545
570,21,22,12176,1816.0098039215682
571,21,32,12208,1808.5571895424837
572,21,25,12233,1808.1045751633992
573,21,31,12264,1801.6519607843147
574,3,19,12283,1807.1993464052284
575,21,19,12302,1812.746732026144
576,21,19,12321,1818.2941176470595
577,20,22,12343,1820.841503267975
578,21,22,12365,1823.3888888888887
579,12,4,12369,1843.9362745098042
580,21,22,12391,1846.4836601307197
581,21,23,12414,1848.0310457516352
582,15,27,12441,1845.578431372549
583,21,18,12459,1852.1258169934645
584,21,26,12485,1850.67320261438
585,21,30,12515,1845.2205882352937
586,21,26,12541,1843.7679738562092
587,18,11,12552,1857.3153594771247
588,21,29,12581,1852.8627450980403
589,21,17,12598,1860.410130718954
590,14,12,12610,1872.9575163398695
591,1,21,12631,1876.504901960785
592,11,13,12644,1888.0522875817005
593,21,37,12681,1875.5996732026142
594,21,21,12702,1879.1470588235297
595,21,21,12723,1882.6944444444453
596,21,19,12742,1888.2418300653608
597,21,24,12766,1888.7892156862745
598,21,19,12785,1894.33660130719
599,21,29,12814,1889.8839869281055
600,21,19,12833,1895.4313725490192
601,10,21,12854,1898.9787581699347
602,21,25,12879,1898.5261437908503
603,9,22,12901,1901.0735294117658
604,21,27,12928,1898.6209150326795
605,21,24,12952,1899.168300653595
606,21,29,12981,1894.7156862745105
607,21,18,12999,1901.263071895426
608,21,30,13029,1895.8104575163397
609,21,22,13051,1898.3578431372553
610,21,29,13080,1893.9052287581708
611,5,19,13099,1899.4526143790863
612,21,32,13131,1892.0
613,2,25,13156,1891.5473856209155
614,15,21,13177,1895.094771241831
615,21,30,13207,1889.6421568627447
616,1,21,13228,1893.1895424836603
617,21,26,13254,1891.7369281045758
618,21,26,13280,1890.2843137254913
619,21,21,13301,1893.831699346405
620,21,24,13325,1894.3790849673205
621,21,25,13350,1893.926470588236
622,21,29,13379,1889.4738562091516
623,21,23,13402,1891.0212418300653
624,21,30,13432,1885.5686274509808
625,21,22,13454,1888.1160130718963
626,21,22,13476,1890.66339869281
627,21,25,13501,1890.2107843137255
628,21,14,13515,1900.758169934641
629,4,14,13529,1911.3055555555566
630,21,22,13551,1913.8529411764703
631,21,19,13570,1919.4003267973858
632,21,31,13601,1912.9477124183013
633,21,24,13625,1913.4950980392168
634,21,28,13653,1910.0424836601305
635,8,16,13669,1918.589869281046
636,12,9,13678,1934.1372549019616
637,19,7,13685,1951.684640522877
638,10,24,13709,1952.2320261437908
639,14,9,13718,1967.7794117647063
640,21,22,13740,1970.3267973856218
641,21,30,13770,1964.8741830065355
642,21,24,13794,1965.421568627451
643,9,23,13817,1966.9689542483666
644,21,28,13845,1963.516339869282
645,16,11,13856,1977.0637254901958
646,20,25,13881,1976.6111111111113
647,21,18,13899,1983.1584967320268
648,21,22,13921,1985.7058823529424
649,3,21,13942,1989.253267973856
650,21,24,13966,1989.8006535947716
651,21,21,13987,1993.348039215687
652,16,11,13998,2006.8954248366026
653,20,25,14023,2006.4428104575163
654,11,13,14036,2017.9901960784318
655,21,26,14062,2016.5375816993474
656,21,22,14084,2019.084967320261
657,21,20,14104,2023.6323529411766
658,21,35,14139,2013.179738562092
659,0,7,14146,2030.7271241830076
660,21,19,14165,2036.2745098039213
661,21,25,14190,2035.8218954248368
